date,temperature,dewpoint_temperature,relative_humidity,wind_speed,cloud_cover,precipitation,rain_tomorrow
2005-01-01,19.346250000000005,16.934999999999995,0.865416666666667,3.1458333333333335,0.8012499999999997,0.0,0
2005-01-02,20.988749999999996,19.32625,0.90625,4.716666666666667,0.8995833333333332,0.0,0
2005-01-03,21.96375,19.43125,0.8624999999999998,5.099166666666666,0.9041666666666667,0.0,0
2005-01-04,21.03,18.85,0.8783333333333334,4.538333333333333,0.8879166666666666,0.0,0
2005-01-05,21.83875,18.479166666666668,0.8220833333333334,5.390416666666666,0.8133333333333335,0.0,0
2005-01-06,8.754166666666666,4.912083333333333,0.7775,5.015416666666666,0.9983333333333334,0.0,0
2005-01-07,8.542083333333336,3.327083333333334,0.7000000000000002,2.5395833333333333,0.9966666666666667,0.0,0
2005-01-08,10.82,6.642916666666668,0.7712499999999999,2.8124999999999987,0.31,0.0,0
2005-01-09,14.535000000000002,11.76333333333333,0.8395833333333335,2.065833333333333,0.67,0.0,0
2005-01-10,19.816249999999993,17.605,0.8770833333333333,3.4650000000000003,0.9179166666666666,0.0,0
2005-01-11,20.91333333333333,17.695,0.8316666666666664,4.02875,0.6404166666666665,0.0,0
2005-01-12,21.34,17.649166666666662,0.8033333333333337,6.5804166666666655,0.7720833333333333,0.0,1
2005-01-13,15.872500000000002,9.194166666666666,0.6554166666666668,5.91125,0.6554166666666666,19.7,0
2005-01-14,8.6225,-1.1554166666666668,0.5145833333333333,4.2508333333333335,0.0525,0.0,0
2005-01-15,8.12375,-0.19416666666666668,0.5712499999999999,2.8820833333333336,0.8566666666666665,0.0,0
2005-01-16,7.24625,0.2133333333333333,0.63,3.6287499999999997,0.0020833333333333333,0.0,0
2005-01-17,5.956666666666667,-0.9383333333333335,0.6374999999999998,2.6787500000000004,0.35125,0.0,0
2005-01-18,5.831250000000001,-1.4241666666666666,0.6024999999999999,3.14625,0.86875,0.0,0
2005-01-19,10.575,5.715416666666667,0.7204166666666665,2.1929166666666666,0.9029166666666665,0.0,0
2005-01-20,16.417083333333334,12.687500000000002,0.7995833333333334,2.745416666666667,0.5483333333333332,0.0,0
2005-01-21,17.18375,13.417500000000004,0.8016666666666669,3.3262500000000004,0.3545833333333334,0.0,0
2005-01-22,18.643333333333334,14.326666666666668,0.7837500000000001,3.9870833333333344,0.72375,0.0,0
